Cxt gtf location,contig,interval ,Gene symbol
gene10835,tig00017972_CDS_27230_28138,,Amy-d
gene10837,tig00017975_CDS_10287_11231,,ZFYVE20
gene10838,tig00017975_CDS_19044_19940,,SEL1L
gene10836,tig00017975_CDS_4837_5091,,DBI
gene10842,tig00017990_CDS_13369_13915,,WARS2
gene10845,tig00018001_CDS_3556_3929,,RXRA
gene10861,tig00018067_CDS_13051_13235,,ABCC4
gene10862,tig00018123_CDS_3233_6111,,RTTN
gene10864,tig00018125_CDS_31366_31533,,SMS
gene10869,tig00018177_CDS_21489_22646,,SOX2
gene10871,tig00018207_CDS_5258_5842,,RNF146
gene10872,tig00018209_CDS_10031_12669,,RPTOR
gene10877,tig00018222_CDS_18666_18974,,SPON1
gene10880,tig00018245_CDS_36108_37004,,HUS1
gene10882,tig00018259_CDS_5048_5332,,GDE1
gene10886,tig00018282_CDS_27143_28375,,RBM22
gene10888,tig00018288_CDS_15267_15863,,RMDN1
gene10889,tig00018288_CDS_29541_30077,,SPCS2
gene10906,tig00018327_CDS_30813_31121,,MAP3K13
gene10913,tig00018344_CDS_26012_26614,,TMEM129
gene10914,tig00018347_CDS_5231_6775,,MOV10
gene10918,tig00018355_CDS_1839_5681,,RAD54L2
gene10919,tig00018367_CDS_14334_15266,,APC2
gene10920,tig00018367_CDS_39417_40568,,APC2
gene10922,tig00018383_CDS_20635_21669,,KCNQ1
gene10923,tig00018385_CDS_20647_22158,,UNC45A
gene10932,tig00018471_CDS_12477_12685,,TIAL1
gene10934,tig00018492_CDS_25438_25580,,ARPC5
gene10938,tig00018535_CDS_15112_15306,,HARS
gene10937,tig00018535_CDS_2343_3506,,SUDS3
gene10939,tig00018535_CDS_35210_35626,,RNF141
gene10943,tig00018568_CDS_11727_12803,,PNLIP
gene10949,tig00018646_CDS_13015_13368,,HS6ST1
gene10954,tig00018671_CDS_24613_25527,,ADAT1
gene10952,tig00018671_CDS_3245_5830,,CC2D2A
gene10964,tig00018827_CDS_32305_32677,,NME6
gene10961,tig00018827_CDS_872_1492,,CDK11B
gene10966,tig00018873_CDS_13722_14008,,ADAMTS12
gene10968,tig00018891_CDS_15860_16061,,FAM109A
gene10973,tig00018910_CDS_17891_19276,,CAAP1
gene10976,tig00018928_CDS_28009_28719,,THOC1
gene10983,tig00019036_CDS_23450_24097,,ADCY1
gene10984,tig00019038_CDS_14937_15224,,LDB3
gene10986,tig00019050_CDS_1072_1503,,HAT1
gene10989,tig00019066_CDS_17083_17228,,mRpL53
gene10996,tig00019156_CDS_11122_11433,,BAG6
gene10999,tig00019189_CDS_13820_14222,,C1orf43
gene11002,tig00019197_CDS_12401_12649,,NCBP1
gene11014,tig00019308_CDS_13639_13830,,PRODH
gene11019,tig00019380_CDS_21159_21398,,GTSF1
gene11021,tig00019380_CDS_32904_33141,,GTSF1
gene11023,tig00019523_CDS_17469_17795,,CYCS
gene11024,tig00019551_CDS_10052_10248,,fax
gene11029,tig00019603_CDS_35744_36229,,THAP4
gene11033,tig00019991_CDS_32479_32808,,LSM4
gene11036,tig00020003_CDS_20901_22076,,CANT1
gene11038,tig00020004_CDS_2377_2678,,dcakd
gene11040,tig00020008_CDS_22802_24241,,HTR7
gene11043,tig00020017_CDS_9516_11096,,STK39
gene11044,tig00020018_CDS_1332_2351,,ARHGAP21
gene11050,tig00020030_CDS_923_2110,,CCDC97
gene11059,tig00020042_CDS_10438_11073,,ALKBH6
gene11058,tig00020042_CDS_9633_9754,,THOC7
gene11062,tig00020048_CDS_10277_10406,,SH3GL1
gene11066,tig00020054_CDS_18859_19939,,MRPS18C
gene11073,tig00020068_CDS_19382_20020,,AURKA
gene11075,tig00020080_CDS_26272_26457,,cxxc5
gene11080,tig00020093_CDS_19962_20854,,CIC
gene11082,tig00020097_CDS_18082_18678,,MED31
gene11086,tig00020103_CDS_23566_24450,,Vgr
gene11091,tig00020113_CDS_29523_29765,,KCNQ1
gene11094,tig00020118_CDS_26031_26525,,TMPRSS15
gene11097,tig00020134_CDS_14657_14954,,RANBP10
gene11100,tig00020139_CDS_17972_18564,,C9orf172
gene11102,tig00020142_CDS_10674_11129,,GGA1
gene11103,tig00020143_CDS_400_759,,CHCHD2
gene11108,tig00020151_CDS_23717_23923,,TMBIM6
gene11109,tig00020162_CDS_9712_11499,,TMEM201
gene11113,tig00020181_CDS_15985_16397,,C5orf22
gene11120,tig00020185_CDS_16132_16278,,DSTN
gene11123,tig00020187_CDS_15883_17148,,FIGNL1
gene11122,tig00020187_CDS_6987_7153,,COX6C
gene11124,tig00020189_CDS_3521_3711,,SH3GLB1
gene11126,tig00020198_CDS_4098_4748,,MRPS31
gene11132,tig00020206_CDS_42928_43282,,APOD
gene11139,tig00020241_CDS_11212_12438,,VMP1
gene11144,tig00020266_CDS_18127_19362,,NUMB
gene11147,tig00020272_CDS_12581_12818,,DCLRE1C
gene11148,tig00020272_CDS_13153_13283,,CWC15
gene11155,tig00020279_CDS_19927_21843,,NOP9
gene11161,tig00020291_CDS_19987_21249,,MGAT3
gene11162,tig00020292_CDS_52098_52496,,USP54
gene11163,tig00020293_CDS_12844_14461,,MCM8
gene11167,tig00020306_CDS_4642_5496,,WDR83
gene11177,tig00020326_CDS_5862_6767,,TCTE1
gene11178,tig00020337_CDS_30742_31341,,RDH13
gene11180,tig00020340_CDS_29_463,,DCLK1
gene11183,tig00020346_CDS_42314_43720,,UNC5C
gene11198,tig00020385_CDS_26225_26902,,CDK9
gene11200,tig00020388_CDS_25268_25943,,METAP1D
gene11204,tig00020397_CDS_10086_10478,,RPS24
gene11206,tig00020397_CDS_44663_45400,,NADK2
gene11209,tig00020401_CDS_11342_11470,,His4r
gene11212,tig00020402_CDS_7694_8407,,ATMIN
gene11219,tig00020406_CDS_32539_33465,,GARNL3
gene11220,tig00020410_CDS_22599_22764,,EXOSC6
gene11221,tig00020410_CDS_23603_23860,,SF3B5
gene11223,tig00020416_CDS_11182_11514,,ACSF2
gene11241,tig00020447_CDS_24933_27093,,VPS11
gene11244,tig00020463_CDS_865_1857,,TADA3
gene11246,tig00020468_CDS_4168_4426,,ALG12
gene11248,tig00020472_CDS_10721_11587,,GPROR66
gene11249,tig00020475_CDS_16309_17665,,lztr1
gene11260,tig00020501_CDS_2374_3069,,PDCL3
gene11261,tig00020505_CDS_3209_3331,,KIAA1143
gene11264,tig00020507_CDS_57823_59592,,ACTR5
gene11269,tig00020518_CDS_14855_14991,,PRKCD
gene11268,tig00020518_CDS_9442_9666,,PRKCD
gene11278,tig00020530_CDS_9701_10378,,TOMM40L
gene11281,tig00020538_CDS_14826_14954,,His4r
gene11284,tig00020541_CDS_17372_18088,,ACTL6A
gene11292,tig00020561_CDS_36753_37580,,CCDC149
gene11294,tig00020566_CDS_16949_17638,,SORBS1
gene11301,tig00020577_CDS_10312_10485,,GCK
gene11302,tig00020585_CDS_2537_3157,,NUPL2
gene11314,tig00020616_CDS_4226_4558,,SKP1
gene11319,tig00020628_CDS_10965_12806,,FAM46A
gene11324,tig00020647_CDS_4387_5355,,NUB1
gene11332,tig00020672_CDS_4074_5099,,TMEM184C
gene11340,tig00020682_CDS_12044_12202,,imd
gene11342,tig00020682_CDS_28954_29196,,ORC1
gene11338,tig00020682_CDS_7566_7702,,PSMA4
gene11345,tig00020692_CDS_1919_2635,,EXOSC3
gene11348,tig00020703_CDS_19109_19483,,ALDH3A2
gene11349,tig00020706_CDS_1326_1856,,PRDX5
gene11356,tig00020727_CDS_7367_8890,,HMBS
gene11359,tig00020732_CDS_26607_28781,,E75
gene11361,tig00020741_CDS_25654_26145,,CLINT1
gene11363,tig00020752_CDS_17524_20367,,TIAM1
gene11364,tig00020758_CDS_141_912,,STAT5B
gene11374,tig00020771_CDS_15132_16199,,Mal-A1
gene11375,tig00020771_CDS_24506_24985,,Mal-A4
gene11376,tig00020771_CDS_26716_27240,,Mal-A4
gene11373,tig00020771_CDS_6682_7272,,Mal-A4
gene11379,tig00020778_CDS_11274_11600,,CAPZB
gene11380,tig00020789_CDS_1227_1724,,MAP3K13
gene11381,tig00020793_CDS_1119_1409,,ROBO1
gene11384,tig00020803_CDS_42_854,,TEFM
gene11388,tig00020804_CDS_22253_23272,,NANS
gene11398,tig00020817_CDS_7101_9005,,FBXO43
gene11399,tig00020820_CDS_458_2122,,ETFDH
gene11400,tig00020823_CDS_2935_3054,,ANAPC15
gene11403,tig00020826_CDS_14948_15461,,RIOK1
gene11408,tig00020840_CDS_13695_14993,,PDE1C
gene11409,tig00020840_CDS_19872_20708,,MIER3
gene11412,tig00020850_CDS_3971_4501,,cdc42
gene11416,tig00020867_CDS_22650_23018,,TBC1D10B
gene11424,tig00020898_CDS_1787_4264,,XRN1
gene11433,tig00020912_CDS_31794_32282,,BCAN
gene11437,tig00020923_CDS_16562_17020,,cac
gene11438,tig00020929_CDS_47920_48126,,y
gene11440,tig00020939_CDS_22025_22234,,GLYATL3
gene11441,tig00020939_CDS_25919_26128,,GLYATL3
gene11442,tig00020939_CDS_27003_27659,,GLYATL3
gene11448,tig00020950_CDS_17240_17368,,DCTN1
gene11450,tig00020950_CDS_37085_37561,,SRPN19
gene11452,tig00020953_CDS_10294_10530,,Wnt4
gene11453,tig00020954_CDS_5802_6797,,CDC6
gene11461,tig00020974_CDS_6564_7488,,QSER1
gene11466,tig00020986_CDS_5788_6215,,FBP1
gene11478,tig00021013_CDS_622_1407,,DPYS
gene11482,tig00021019_CDS_21445_21681,,IPMK
gene11484,tig00021022_CDS_16797_17522,,RMI1
gene11485,tig00021030_CDS_470_3982,,TOLL10
gene11489,tig00021043_CDS_16876_17068,,BRMS1L
gene11494,tig00021053_CDS_32_313,,SMDT1
gene11500,tig00021066_CDS_8808_9256,,SERGEF
gene11506,tig00021089_CDS_12723_13035,,dgk-3
gene11507,tig00021089_CDS_25484_25607,,dgk-3
gene11510,tig00021103_CDS_22414_22734,,Ag5r
gene11520,tig00021129_CDS_28925_29368,,CHIA
gene11523,tig00021141_CDS_16122_16337,,CHRNA7
gene11530,tig00021166_CDS_19405_19665,,GRIA2
gene11531,tig00021173_CDS_3625_4890,,FIGNL1
gene11540,tig00021215_CDS_8899_9306,,UQCRFS1
gene11543,tig00021230_CDS_17031_17219,,spz
gene11544,tig00021231_CDS_7370_8254,,TSSK2
gene11545,tig00021235_CDS_2911_3018,,cks1b
gene11550,tig00021246_CDS_164_1672,,GTF3C3
gene11557,tig00021261_CDS_181_441,,KMT2D
gene11560,tig00021278_CDS_10131_10404,,Hiscl2
gene11562,tig00021289_CDS_19366_19881,,Cpap3-e
gene11580,tig00021320_CDS_3175_3327,,MCM7
gene11584,tig00021332_CDS_13077_14042,,NUBP1
gene11590,tig00021340_CDS_28478_28666,,CLINT1
gene11595,tig00021357_CDS_43064_44080,,QKI
gene11598,tig00021373_CDS_12956_13195,,ROBO1
gene11599,tig00021384_CDS_10551_11459,,LRRC20
gene11607,tig00021401_CDS_48017_48351,,CECR1
gene11616,tig00021421_CDS_25895_26231,,TpnC4
gene11622,tig00021443_CDS_27647_28342,,SLC24A2
gene11625,tig00021449_CDS_6270_6635,,GET4
gene11629,tig00021456_CDS_15630_16286,,ETFB
gene11630,tig00021456_CDS_25513_26448,,BPNT1
gene11634,tig00021462_CDS_7772_8863,,LENG8
gene11636,tig00021470_CDS_22890_23420,,CCDC51
gene11637,tig00021475_CDS_13060_13636,,GCLM
gene11640,tig00021484_CDS_10179_10784,,KIAA0141
gene11642,tig00021485_CDS_15897_17378,,EP400
gene11641,tig00021485_CDS_229_2355,,EP400
gene11643,tig00021485_CDS_24968_25399,,EP400
gene11645,tig00021489_CDS_11451_11729,,C2CD5
gene11652,tig00021511_CDS_12848_13631,,MTERFD1
gene11653,tig00021511_CDS_27516_27652,,ROMO1
gene11658,tig00021521_CDS_14688_15653,,PPP2R4
gene11657,tig00021521_CDS_2418_4202,,CD109
gene11660,tig00021524_CDS_21363_21717,,APOD
gene11661,tig00021524_CDS_26164_26430,,CHID1
gene11664,tig00021544_CDS_28667_29161,,RPS5
gene11674,tig00021568_CDS_26691_27926,,IAP1
gene11675,tig00021570_CDS_348_965,,TJP2
gene11677,tig00021573_CDS_17587_17768,,CRIPT
gene11678,tig00021573_CDS_18155_19294,,C10orf2
gene11676,tig00021573_CDS_2202_2594,,TUBA1A
gene11680,tig00021574_CDS_2619_4389,,FAM21A
gene11682,tig00021586_CDS_718_930,,ADAM10
gene11686,tig00021597_CDS_4823_5611,,ATG13
gene11701,tig00021658_CDS_34028_34345,,STARD10
gene11707,tig00021688_CDS_11524_12262,,CEP89
gene11708,tig00021690_CDS_3302_3693,,SPATA5L1
gene11711,tig00021698_CDS_1153_1812,,UBA1
gene11718,tig00021713_CDS_12259_12630,,CBP
gene11717,tig00021713_CDS_4649_5778,,NUP88
gene11720,tig00021715_CDS_17592_19304,,SNX9
gene11723,tig00021719_CDS_1040_1438,,HTR7
gene11724,tig00021723_CDS_28569_28699,,EDEM3
gene11727,tig00021748_CDS_2039_2179,,LARP4
gene11732,tig00021776_CDS_10484_10813,,SH3BGR
gene11735,tig00021786_CDS_11295_11675,,INPP4A
gene11738,tig00021803_CDS_3356_3691,,WRB
gene11741,tig00021808_CDS_8226_8725,,GPROR23
gene11744,tig00021823_CDS_2_593,,boss
gene11750,tig00021845_CDS_2061_3278,,ZDHHC13
gene11752,tig00021851_CDS_5900_6820,,SLC19A2
gene11757,tig00021867_CDS_10503_12398,,C9orf117
gene11758,tig00021876_CDS_35425_36606,,SLC32A1
gene11759,tig00021879_CDS_3056_3352,,DUSP22
gene11768,tig00021911_CDS_22110_22892,,IGFALS
gene11771,tig00021915_CDS_2614_3252,,KdelR
gene11780,tig00021934_CDS_1011_1266,,SMNDC1
gene11788,tig00021965_CDS_11806_12324,,ROGDI
gene11796,tig00022011_CDS_10641_10837,,MED6
gene11798,tig00022012_CDS_18763_19536,,PIGV
gene11797,tig00022012_CDS_3305_3559,,DHX34
gene11800,tig00022020_CDS_3740_3913,,AMY2A
gene11802,tig00022033_CDS_2545_2671,,USP2
gene11807,tig00022042_CDS_3806_4321,,CCKAR
gene11808,tig00022051_CDS_11297_11514,,SH3BP5L
gene11810,tig00022057_CDS_181_1299,,CECR1
gene11815,tig00022062_CDS_31597_32052,,CHAC2
gene11817,tig00022080_CDS_7606_8772,,HSPA9
gene11822,tig00022089_CDS_17473_19254,,Cht6
gene11827,tig00022095_CDS_14357_15178,,PURA
gene11833,tig00022133_CDS_3998_6986,,TOLL11
gene11848,tig00022160_CDS_36705_37250,,ACTB
gene11851,tig00022164_CDS_2736_2984,,OGDHL
gene11858,tig00022201_CDS_5943_6287,,GRIA2
gene11859,tig00022206_CDS_18266_18654,,PPM1L
gene11864,tig00022234_CDS_3155_3358,,PRPF4B
gene11865,tig00022236_CDS_3776_4351,,PPCDC
gene11866,tig00022236_CDS_4401_4670,,COX19
gene11869,tig00022267_CDS_5025_5251,,TRNT1
gene11871,tig00022278_CDS_37990_38531,,SRPN6
gene11874,tig00022296_CDS_40881_41117,,VAMP7
gene11875,tig00022309_CDS_14990_15784,,PAX9
gene11876,tig00022310_CDS_28899_31106,,CLSTN2
gene11881,tig00022322_CDS_18037_18837,,XPO6
gene11886,tig00022333_CDS_23904_24168,,nphp-2
gene11891,tig00022337_CDS_1965_2789,,PAK7
gene11896,tig00022377_CDS_12581_13236,,MFSD8
gene11895,tig00022377_CDS_2157_2816,,MFSD8
gene11902,tig00022382_CDS_21066_21698,,HHAT
gene11905,tig00022387_CDS_27529_29097,,MSL1
gene11907,tig00022391_CDS_25184_26617,,INPP5E
gene11909,tig00022394_CDS_17981_18772,,FOXRED1
gene11915,tig00022428_CDS_6752_8752,,THAP9
gene11928,tig00022465_CDS_6306_7448,,DEPDC5
gene11931,tig00022487_CDS_5890_7674,,htl
gene11933,tig00022507_CDS_23100_23306,,PRODH
gene11935,tig00022510_CDS_7745_8362,,AK3
gene11953,tig00022570_CDS_15292_15541,,hig
gene11954,tig00022575_CDS_27957_29864,,NOP9
gene11957,tig00022585_CDS_11457_12037,,POU2F1
gene11963,tig00022610_CDS_13244_13573,,ATG2B
gene11964,tig00022613_CDS_7827_8237,,ELOVL7
gene11965,tig00022619_CDS_23356_24729,,MEX3C
gene11969,tig00022638_CDS_239_571,,ATP5F1
gene11975,tig00022668_CDS_36138_36400,,ARX
gene11981,tig00022680_CDS_10182_10370,,RPE
gene11980,tig00022680_CDS_4483_4872,,MESDC2
gene11991,tig00022716_CDS_11062_11270,,YPEL2
gene11993,tig00022721_CDS_6351_6586,,C1GALT1
gene12000,tig00022745_CDS_28285_28477,,Lac2
gene12001,tig00022745_CDS_39324_39527,,Lac2
gene12012,tig00022760_CDS_1412_2209,,FOXRED1
gene12014,tig00022781_CDS_2551_3852,,DPF2
gene12015,tig00022784_CDS_26388_27101,,C7orf60
gene12019,tig00022804_CDS_12414_13435,,MAATS1
gene12024,tig00022812_CDS_4921_6225,,EPHA5
gene12027,tig00022818_CDS_28925_29250,,DFNB31
gene12028,tig00022830_CDS_10183_10966,,ROBO1
gene12030,tig00022853_CDS_18512_19210,,ADCY9
gene12042,tig00022905_CDS_1636_1986,,ROBO4
gene12045,tig00022926_CDS_12190_12600,,NMUR1
gene12046,tig00022929_CDS_11682_11808,,USP2
gene12047,tig00022930_CDS_7753_8124,,HSD17B10
gene12051,tig00022943_CDS_23374_24610,,TBC1D16
gene12056,tig00022965_CDS_812_2881,,KDM1A
gene12063,tig00023004_CDS_11529_11756,,RAB1A
gene12068,tig00023022_CDS_1243_1551,,GSKIP
gene12069,tig00023022_CDS_1898_3265,,ZNF277
gene12074,tig00023026_CDS_6781_8136,,PUS10
gene12080,tig00023047_CDS_17219_17444,,SCD
gene12081,tig00023050_CDS_24720_25199,,EFCAB1
gene12085,tig00023069_CDS_16662_17614,,GPROAR1
gene12089,tig00023082_CDS_4735_5181,,FIBCD1
gene12095,tig00023123_CDS_12643_13203,,NEURL2
gene12101,tig00023138_CDS_3014_3352,,SLK
gene12109,tig00023157_CDS_13405_14425,,ATG4C
gene12117,tig00023195_CDS_16797_17249,,WBP2
gene12118,tig00023203_CDS_11987_12139,,RORC
gene12130,tig00023267_CDS_9317_9589,,MOCS2
gene12134,tig00023278_CDS_9192_9593,,SKP1
gene12136,tig00023296_CDS_11244_11972,,ASS1
gene12140,tig00023303_CDS_24566_25633,,UTP14A
gene12146,tig00023320_CDS_33048_33284,,ECI1
gene12149,tig00023320_CDS_38923_39159,,ECI1
gene12154,tig00023333_CDS_7261_7566,,TXN
gene12156,tig00023337_CDS_17318_17459,,KIF12
gene12162,tig00023378_CDS_10387_10716,,FXN
gene12164,tig00023388_CDS_9563_10900,,EXTL3
gene12167,tig00023395_CDS_11391_11981,,THEM6
gene12169,tig00023408_CDS_17911_18348,,COG8
gene12173,tig00023414_CDS_1585_2498,,UGT2A1
gene12187,tig00023518_CDS_10637_12262,,CES5A
gene12196,tig00023581_CDS_16096_16269,,tat-2
gene12201,tig00023607_CDS_2054_2389,,HELZ
gene12214,tig00023672_CDS_6140_6934,,MAPK8IP1
gene12219,tig00023692_CDS_4_522,,FAM43A
gene12228,tig00023743_CDS_16250_17422,,MAF
gene12229,tig00023755_CDS_22_723,,SLC35B4
gene12235,tig00023802_CDS_15936_16463,,ABR
gene12237,tig00023802_CDS_22112_23104,,PTGR1
gene12241,tig00023838_CDS_23128_23345,,ITP
gene12242,tig00023838_CDS_40972_41526,,FAM58A
gene12246,tig00023875_CDS_33360_34538,,TMEM129
gene12247,tig00023875_CDS_42134_42622,,POLR3F
gene12248,tig00023875_CDS_49077_49718,,HP1C
gene12250,tig00023896_CDS_14668_15153,,HIST1H1A
gene12251,tig00023897_CDS_19533_20453,,SPHK1
gene12253,tig00023900_CDS_10458_10738,,Gr64b
gene12260,tig00023917_CDS_2_355,,PPP1R13B
gene12261,tig00023932_CDS_3522_3677,,USE1
gene12277,tig00024019_CDS_5927_7012,,GPRDOP2
gene12283,tig00024116_CDS_5975_6188,,CREG1
gene12284,tig00024135_CDS_17559_19958,,TBL3
gene12285,tig00024135_CDS_22517_22877,,TMEM186
gene12296,tig00024177_CDS_18736_19058,,RAB2A
gene12297,tig00024183_CDS_7469_7801,,PRKCA
gene12299,tig00024188_CDS_3629_3985,,HEXB
gene12302,tig00024211_CDS_16786_17244,,IRS1
gene12304,tig00024213_CDS_23894_24274,,FRMD5
gene12307,tig00024230_CDS_24228_24581,,SAT2
gene12310,tig00024271_CDS_1936_2847,,Sec61alpha
gene12320,tig00024316_CDS_5101_6126,,FAM98A
gene12321,tig00024328_CDS_5367_5723,,Ppib
gene12322,tig00024328_CDS_7448_7939,,Ppib
gene12324,tig00024336_CDS_10486_10777,,GSKIP
gene12325,tig00024336_CDS_11122_12408,,ZNF277
gene12333,tig00024363_CDS_26125_26276,,TSPAN18
gene12338,tig00024447_CDS_11457_11932,,BLMH
gene12339,tig00024464_CDS_21284_21481,,COA3
gene12340,tig00024464_CDS_31378_32418,,TFB1M
gene12343,tig00024484_CDS_584_1519,,MCM10
gene12346,tig00024487_CDS_9216_9467,,HAND2
gene12356,tig00024527_CDS_2_370,,MAP2K7
gene12359,tig00024535_CDS_10452_11708,,TXNRD2
gene12363,tig00024555_CDS_19036_20232,,XRN1
gene12364,tig00024557_CDS_20492_20905,,CA2
gene12367,tig00024600_CDS_12481_13128,,ADCY1
gene12368,tig00024600_CDS_38109_38390,,ADCY1
gene12387,tig00024671_CDS_12574_13932,,RECQL
gene12398,tig00024775_CDS_6958_7539,,MAEL
gene12400,tig00024783_CDS_11262_12677,,DEPDC5
gene12401,tig00024783_CDS_34810_36189,,NPEPPS
gene12402,tig00024790_CDS_23389_24783,,LENG8
gene12412,tig00024910_CDS_518_1870,,RAD54L
gene12424,tig00024991_CDS_1292_1490,,AMDHD2
gene12425,tig00025014_CDS_21505_23172,,SLC22A16
gene12426,tig00025017_CDS_4901_6526,,CES5A
gene12432,tig00025046_CDS_25855_29121,,SUPT5H
gene12437,tig00025077_CDS_37444_38566,,dve-1
gene12440,tig00025113_CDS_36043_38061,,GNL2
gene12445,tig00025188_CDS_33160_33658,,LIAS
gene12447,tig00025237_CDS_13694_13954,,MYO7A
gene12450,tig00025255_CDS_13857_15533,,TMCC2
gene12452,tig00025257_CDS_23876_24043,,SAMD11
gene12457,tig00025291_CDS_7506_7608,,MRPL54
gene12461,tig00025404_CDS_4451_4601,,BSDC1
gene12474,tig00025511_CDS_105_263,,CEPT1
gene12476,tig00025522_CDS_7690_8103,,CHMP5
gene12477,tig00025557_CDS_32938_33120,,FKBP14
gene12479,tig00025562_CDS_26072_26332,,ACOX2
gene12483,tig00025594_CDS_1263_1625,,PSMG4
gene12484,tig00025601_CDS_5532_6482,,PTPRR
gene12486,tig00025656_CDS_6181_8148,,FZD5
gene12490,tig00025733_CDS_15305_15495,,PPP2CB
gene12491,tig00025762_CDS_925_1194,,NR2C1
gene12504,tig00025902_CDS_14142_14451,,TMEM186
gene12503,tig00025902_CDS_5659_8079,,TBL3
gene12508,tig00026036_CDS_41234_41585,,Trh
gene12512,tig00026083_CDS_17922_18539,,PRKAG2
gene12517,tig00026264_CDS_1350_1727,,TMPRSS6
gene12526,tig00026363_CDS_15327_16055,,PIH1D1
gene12534,tig00026704_CDS_6834_7451,,LIN54
gene12538,tig00026737_CDS_26903_27662,,ITM2B
gene12542,tig00026772_CDS_14891_17002,,TBC1D23
gene12544,tig00026915_CDS_24663_25232,,ZNF598
gene12545,tig00026944_CDS_25413_26052,,TWISTNB
gene12553,tig00027309_CDS_23033_23311,,TBRG1
gene12558,tig00027516_CDS_1970_3400,,m
gene12562,tig00027530_CDS_6936_7030,,POLR2L
gene12569,tig00027549_CDS_19198_20784,,MYO9A
gene12567,tig00027549_CDS_2101_2634,,MYO9B
gene12571,tig00027553_CDS_22484_23839,,PUS10
gene12572,tig00027553_CDS_32546_34519,,GLE1
gene12574,tig00027583_CDS_17073_17227,,nAChRb1
gene12575,tig00027587_CDS_4498_4860,,PSMG4
gene12580,tig00027594_CDS_66_1247,,SAPCD2
gene12582,tig00027609_CDS_7210_7449,,DDR2
gene12592,tig00027658_CDS_1726_2118,,Mal-B2
gene12595,tig00027665_CDS_14066_14269,,chs-2
gene12599,tig00027682_CDS_1436_1866,,SGMS1
gene12601,tig00027691_CDS_6597_6773,,FRMPD3
gene12604,tig00027701_CDS_11583_12197,,Myo15
gene12603,tig00027701_CDS_4521_5567,,Myo15
gene12606,tig00027703_CDS_10901_13006,,NR4A2
gene12605,tig00027703_CDS_3827_4039,,NR4A2
gene12612,tig00027735_CDS_16216_16432,,FRRS1
gene12622,tig00027758_CDS_28349_29914,,MSL1
gene12630,tig00027799_CDS_11337_11571,,Cpap3-d2
gene12631,tig00027808_CDS_13265_14161,,ATF4
gene12635,tig00027827_CDS_12123_12541,,ABCB10
gene12637,tig00027829_CDS_11373_12869,,TFAP4
gene12638,tig00027836_CDS_9780_10364,,l(2)06496
gene12639,tig00027841_CDS_6475_7458,,GUCY2D
gene12644,tig00027858_CDS_7610_9376,,KARS
gene12646,tig00027859_CDS_15371_15543,,WDR65
gene12651,tig00027906_CDS_12597_13046,,SRF
gene12663,tig00027932_CDS_20950_21333,,TMEM38B
gene12667,tig00027946_CDS_1487_2038,,TUBA3E
gene12668,tig00027956_CDS_30505_31248,,SLC26A2
gene12674,tig00027970_CDS_11276_12387,,MON2
gene12681,tig00028012_CDS_2404_2504,,CYB5A
gene12692,tig00028041_CDS_216_674,,PITPNM2
gene12695,tig00028044_CDS_30748_31470,,ST6GAL2
gene12696,tig00028046_CDS_646_981,,JAK2
gene12697,tig00028050_CDS_7997_8164,,CDK5
gene12702,tig00028069_CDS_21651_22244,,Nurf-38
gene12703,tig00028070_CDS_10561_11485,,ACTB
gene12704,tig00028072_CDS_3_2435,,GPATCH1
gene12707,tig00028077_CDS_327_650,,KLHL10
gene12719,tig00028133_CDS_15091_17619,,FIG4
gene12723,tig00028145_CDS_19962_20330,,Sod
gene12721,tig00028145_CDS_4166_6025,,DDX41
gene12724,tig00028146_CDS_2933_4459,,ANKLE1
gene12728,tig00028151_CDS_10374_10786,,ZBTB11
gene12731,tig00028173_CDS_193_685,,gsb-n
gene12740,tig00028205_CDS_1440_3444,,MCM8
gene12742,tig00028217_CDS_21539_22483,,GSX1
gene12744,tig00028227_CDS_1166_2151,,PLK4
gene12745,tig00028232_CDS_11710_12132,,SAYSD1
gene12746,tig00028232_CDS_17818_19287,,DNAJC14
gene12749,tig00028235_CDS_24482_24709,,KAT7
gene12760,tig00028278_CDS_8015_8434,,CLIPB9
gene12764,tig00028289_CDS_4198_4344,,KLK7
gene12770,tig00028322_CDS_2643_4655,,SIK3
gene12775,tig00028357_CDS_1138_2672,,CPSF3L
gene12778,tig00028383_CDS_1697_2686,,RRAGB
gene12782,tig00028397_CDS_11781_12152,,PHPT1
gene12781,tig00028397_CDS_4009_4494,,SEPSECS
gene12783,tig00028400_CDS_13346_13520,,PSMD14
gene12784,tig00028401_CDS_15270_15551,,SOX21
gene12785,tig00028403_CDS_27089_29767,,ABL1
gene12791,tig00028433_CDS_18856_19081,,jun
gene12793,tig00028437_CDS_3793_5962,,igcm-1
gene12794,tig00028438_CDS_6945_7427,,FZD7
gene12802,tig00028467_CDS_29254_29823,,CES5A
gene12806,tig00028482_CDS_15152_15847,,RBM26
gene12807,tig00028485_CDS_2563_2910,,cac
gene12809,tig00028488_CDS_2154_2756,,ATP5S
gene12822,tig00028559_CDS_15186_16693,,DNAH7
gene12824,tig00028566_CDS_9_782,,HMGXB4
gene12826,tig00028581_CDS_10399_10809,,Dat
gene12827,tig00028589_CDS_1448_1789,,NIT2
gene12828,tig00028589_CDS_4655_5494,,NIT2
